"AppID"	"Price"	"Category_new"	"Subcategory_new"	"IsFree"	"RateC_avg"	"RateC_n"	"RateA_avg"	"RateA_n"	"DaysSinceUpdate"
18	"$1.99"	"lifestyle"	"lifestyle"	FALSE	2	57	2	57	
32	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	387	4.5	1812	216
33	"Free"	"lifestyle"	"health and fitness"	TRUE		0	3.5	226	207
37	"$0.99"	"lifestyle"	"entertainment"	FALSE		0	2.5	65	1825
38	"Free"	"lifestyle"	"entertainment"	TRUE	3	75	2.5	2491	1783
39	"Free"	"lifestyle"	"entertainment"	TRUE	2	33	2	33	
58	"Free"	"lifestyle"	"lifestyle"	TRUE	2.5	41	2.5	41	
62	"Free"	"lifestyle"	"lifestyle"	TRUE	3	121	3	121	
65	"Free"	"lifestyle"	"entertainment"	TRUE	1.5	63	1.5	63	
105	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	150	3.5	150	
120	"Free"	"lifestyle"	"lifestyle"	TRUE	1.5	8	2.5	67	101
123	"Free"	"lifestyle"	"entertainment"	TRUE	3	44	3	44	
151	"Free"	"lifestyle"	"utilities"	TRUE	3	32	3	32	
169	"Free"	"lifestyle"	"entertainment"	TRUE	2.5	41	2.5	41	
171	"Free"	"lifestyle"	"utilities"	TRUE	2	41	2	41	
172	"Free"	"lifestyle"	"games"	TRUE	2	2375	2	2375	
184	"Free"	"lifestyle"	"lifestyle"	TRUE	2	196	2	196	
185	"Free"	"lifestyle"	"lifestyle"	TRUE	2	63	2	63	
221	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	280	4.5	1193	611
234	"$4.99"	"lifestyle"	"lifestyle"	FALSE	2	9	3	50	542
263	"Free"	"lifestyle"	"lifestyle"	TRUE	2.5	572	2.5	572	
266	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	35	3.5	73	174
268	"Free"	"lifestyle"	"lifestyle"	TRUE	2	29	3	22047	17
273	"Free"	"lifestyle"	"lifestyle"	TRUE	3	92	2.5	338	1860
274	"$0.99"	"lifestyle"	"utilities"	FALSE	2	65	2.5	154	2194
278	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	20	4	47	245
287	"Free"	"lifestyle"	"entertainment"	TRUE	2.5	24	2	40	1706
305	"Free"	"lifestyle"	"games"	TRUE		0	4.5	359	578
357	"Free"	"lifestyle"	"news"	TRUE	2.5	11	2	395	153
359	"Free"	"lifestyle"	"lifestyle"	TRUE	2.5	16	2.5	220	135
361	"Free"	"lifestyle"	"lifestyle"	TRUE	2.5	10	3	51	113
368	"Free"	"lifestyle"	"lifestyle"	TRUE	4	7	4.5	200	442
396	"$0.99"	"lifestyle"	"health and fitness"	FALSE	4.5	17	4.5	32	1084
398	"Free"	"lifestyle"	"health and fitness"	TRUE	4	5	4.5	46	242
399	"Free"	"lifestyle"	"health and fitness"	TRUE	3	190	3.5	4088	744
446	"Free"	"lifestyle"	"games"	TRUE		0	3	117	80
453	"$0.99"	"lifestyle"	"games"	FALSE	5	12	4.5	815	250
456	"Free"	"lifestyle"	"games"	TRUE	3.5	42	4	189	1209
463	"$1.99"	"lifestyle"	"education"	FALSE	3	33	3.5	1533	1147
496	"Free"	"lifestyle"	"food and drink"	TRUE		0	3	50	253
523	"Free"	"lifestyle"	"lifestyle"	TRUE	3	27	3	4761	218
551	"Free"	"lifestyle"	"lifestyle"	TRUE	5	63	4.5	128	45
563	"Free"	"lifestyle"	"food and drink"	TRUE		0	4	45	183
655	"$0.99"	"lifestyle"	"health and fitness"	FALSE	3	338	3	343	2020
671	"$0.99"	"lifestyle"	"health and fitness"	FALSE	3	478	3	478	
675	"$1.99"	"lifestyle"	"health and fitness"	FALSE	4	25	4	64	783
676	"Free"	"lifestyle"	"health and fitness"	TRUE	4.5	145	4	254	783
710	"Free"	"lifestyle"	"games"	TRUE	4.5	78	4.5	94	540
714	"$4.99"	"lifestyle"	"games"	FALSE	3.5	15	3	131	206
