"AppID"	"Price"	"Category_new"	"Subcategory_new"	"IsFree"	"RateC_avg"	"RateC_n"	"RateA_avg"	"RateA_n"	"Updated"
18	"$1.99"	"lifestyle"	"lifestyle"	FALSE	2	57	2	57	FALSE
32	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	492	4.5	1912	FALSE
33	"Free"	"lifestyle"	"health and fitness"	TRUE		0	3.5	227	FALSE
37	"$0.99"	"lifestyle"	"entertainment"	FALSE		0	2.5	65	FALSE
38	"Free"	"lifestyle"	"entertainment"	TRUE	3	75	2.5	2489	FALSE
39	"Free"	"lifestyle"	"entertainment"	TRUE	2	33	2	33	FALSE
58	"Free"	"lifestyle"	"lifestyle"	TRUE	2.5	41	2.5	41	FALSE
62	"Free"	"lifestyle"	"lifestyle"	TRUE	3	121	3	121	FALSE
65	"Free"	"lifestyle"	"entertainment"	TRUE	1.5	63	1.5	63	FALSE
105	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	150	3.5	150	FALSE
120	"Free"	"lifestyle"	"lifestyle"	TRUE	1.5	19	2.5	78	FALSE
123	"Free"	"lifestyle"	"entertainment"	TRUE	3	44	3	44	FALSE
151	"Free"	"lifestyle"	"utilities"	TRUE	3	32	3	32	FALSE
169	"Free"	"lifestyle"	"entertainment"	TRUE	2.5	41	2.5	41	FALSE
171	"Free"	"lifestyle"	"utilities"	TRUE	2	41	2	41	FALSE
172	"Free"	"lifestyle"	"games"	TRUE	2	2374	2	2374	FALSE
184	"Free"	"lifestyle"	"lifestyle"	TRUE	2	196	2	196	FALSE
185	"Free"	"lifestyle"	"lifestyle"	TRUE	2	63	2	63	FALSE
221	"Free"	"lifestyle"	"lifestyle"	TRUE	4.5	289	4.5	1201	FALSE
234	"$4.99"	"lifestyle"	"lifestyle"	FALSE	2	10	3	51	FALSE
263	"Free"	"lifestyle"	"lifestyle"	TRUE	2.5	572	2.5	572	FALSE
266	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	41	3.5	79	FALSE
268	"Free"	"lifestyle"	"lifestyle"	TRUE	2	9	3	22203	TRUE
273	"Free"	"lifestyle"	"lifestyle"	TRUE	3	92	2.5	338	FALSE
274	"$0.99"	"lifestyle"	"utilities"	FALSE	2	65	2.5	154	FALSE
278	"Free"	"lifestyle"	"lifestyle"	TRUE	3.5	24	4	51	FALSE
287	"Free"	"lifestyle"	"entertainment"	TRUE	2.5	24	2	40	FALSE
305	"Free"	"lifestyle"	"games"	TRUE	4	5	4.5	360	FALSE
357	"Free"	"lifestyle"	"news"	TRUE	2.5	12	2	394	FALSE
359	"Free"	"lifestyle"	"lifestyle"	TRUE	3	24	2.5	228	FALSE
361	"Free"	"lifestyle"	"lifestyle"	TRUE		0	3	56	TRUE
368	"Free"	"lifestyle"	"lifestyle"	TRUE	4	8	4.5	201	FALSE
396	"$0.99"	"lifestyle"	"health and fitness"	FALSE	4.5	17	4.5	32	FALSE
398	"Free"	"lifestyle"	"health and fitness"	TRUE	4	8	4.5	49	FALSE
